group (likely analyzer),histogram
HCal DQM / inefficiency,hcal_dqm_top/max_pe_adc
HCal DQM / inefficiency,hcal_dqm_top/max_pe_adc_time
HCal DQM / inefficiency,hcal_dqm_top/max_pe_time
HCal DQM / inefficiency,hcal_dqm_top/noise
HCal DQM / inefficiency,hcal_dqm_top/pe
HCal DQM / inefficiency,hcal_dqm_top/sim_along_x
HCal DQM / inefficiency,hcal_dqm_top/sim_along_y
HCal DQM / inefficiency,hcal_dqm_top/sim_along_z
HCal DQM / inefficiency,hcal_dqm_top/sim_energy
HCal DQM / inefficiency,hcal_dqm_top/sim_energy_per_bar
HCal DQM / inefficiency,hcal_dqm_top/sim_hit_multiplicity
HCal DQM / inefficiency,hcal_dqm_top/sim_hit_time
HCal DQM / inefficiency,hcal_dqm_top/sim_layer
HCal DQM / inefficiency,hcal_dqm_top/sim_layer:strip
HCal DQM / inefficiency,hcal_dqm_top/sim_num_bars_hit
HCal DQM / inefficiency,hcal_dqm_top/sim_total_energy
HCal DQM / inefficiency,hcal_dqm_top/total_energy
HCal DQM / inefficiency,hcal_dqm_top/total_pe
HCal DQM / inefficiency,hcal_dqm_top/vetoable_hit_multiplicity
Other / uncategorized,PN
Other / uncategorized,PN/1k0_energy
Other / uncategorized,PN/1k0_energy_diff
Other / uncategorized,PN/1k0_energy_frac
Other / uncategorized,PN/1k0_ke:2nd_h_ke
Other / uncategorized,PN/1kp_energy
Other / uncategorized,PN/1kp_energy_diff
Other / uncategorized,PN/1kp_energy_frac
Other / uncategorized,PN/1kp_ke:2nd_h_ke
Other / uncategorized,PN/1n_energy_diff
Other / uncategorized,PN/1n_energy_frac
Other / uncategorized,PN/1n_event_type
Other / uncategorized,PN/1n_ke:2nd_h_ke
Other / uncategorized,PN/1n_neutron_energy
Other / uncategorized,PN/2n_energy_frac
Other / uncategorized,PN/2n_energy_other
Other / uncategorized,PN/2n_n2_energy
Other / uncategorized,PN/event_type
Other / uncategorized,PN/event_type_2000mev
Other / uncategorized,PN/event_type_500mev
Other / uncategorized,PN/event_type_compact
Other / uncategorized,PN/event_type_compact_2000mev
Other / uncategorized,PN/event_type_compact_500mev
Other / uncategorized,PN/h_ke_h_theta
Other / uncategorized,PN/hardest_ke
Other / uncategorized,PN/hardest_n_ke
Other / uncategorized,PN/hardest_n_theta
Other / uncategorized,PN/hardest_p_ke
Other / uncategorized,PN/hardest_p_theta
Other / uncategorized,PN/hardest_pi_ke
Other / uncategorized,PN/hardest_pi_theta
Other / uncategorized,PN/hardest_theta
Other / uncategorized,PN/pn_gamma_energy
Other / uncategorized,PN/pn_gamma_int_x
Other / uncategorized,PN/pn_gamma_int_x:pn_gamma_int_y
Other / uncategorized,PN/pn_gamma_int_y
Other / uncategorized,PN/pn_gamma_int_z
Other / uncategorized,PN/pn_gamma_vertex_x
Other / uncategorized,PN/pn_gamma_vertex_y
Other / uncategorized,PN/pn_gamma_vertex_z
Other / uncategorized,PN/pn_interaction_material
Other / uncategorized,PN/pn_neutron_mult
Other / uncategorized,PN/pn_particle_mult
Other / uncategorized,PN/pn_total_ke
Other / uncategorized,PN/pn_total_neutron_ke
Other / uncategorized,PN/pn_vertex_volume
Other / uncategorized,PN/recoil_vertex_x
Other / uncategorized,PN/recoil_vertex_x:recoil_vertex_y
Other / uncategorized,PN/recoil_vertex_y
Other / uncategorized,PN/recoil_vertex_z
Other / uncategorized,RecoilDQM
Other / uncategorized,RecoilDQM/Chi2
Other / uncategorized,RecoilDQM/Chi2_per_ndf
Other / uncategorized,RecoilDQM/LayersHit
Other / uncategorized,RecoilDQM/N_tracks
Other / uncategorized,RecoilDQM/d0
Other / uncategorized,RecoilDQM/d0_err
Other / uncategorized,RecoilDQM/d0_err_vs_p
Other / uncategorized,RecoilDQM/dup_Chi2
Other / uncategorized,RecoilDQM/dup_Chi2_per_ndf
Other / uncategorized,RecoilDQM/dup_LayersHit
Other / uncategorized,RecoilDQM/dup_d0
Other / uncategorized,RecoilDQM/dup_nHits
Other / uncategorized,RecoilDQM/dup_nHoles
Other / uncategorized,RecoilDQM/dup_nShared
Other / uncategorized,RecoilDQM/dup_p
Other / uncategorized,RecoilDQM/dup_phi
Other / uncategorized,RecoilDQM/dup_qop
Other / uncategorized,RecoilDQM/dup_theta
Other / uncategorized,RecoilDQM/dup_z0
Other / uncategorized,RecoilDQM/ecal_Pulls_of_loc0
Other / uncategorized,RecoilDQM/ecal_Pulls_of_loc1
Other / uncategorized,RecoilDQM/ecal_pulls_loc0-vs-N_hits
Other / uncategorized,RecoilDQM/ecal_pulls_loc0-vs-trk_p
Other / uncategorized,RecoilDQM/ecal_pulls_loc1-vs-N_hits
Other / uncategorized,RecoilDQM/ecal_pulls_loc1-vs-trk_p
